//学生编号 下午第一节 第二届 第三节
1	1	4	5	
2	2	3	1	
3	3	2	6	
4	4	6	2	
5	6	5	4	
6	1	4	5	
7	1	4	5	
8	2	3	1	
9	3	2	6	
10	4	6	2	
11	6	5	4	
12	1	4	5	
13	4	6	2	
14	6	5	4	
15	1	4	5	
16	2	3	1	
17	3	2	6	
18	4	6	2	
19	6	5	4	
20	1	4	5	
21	2	3	1	
22	3	2	6	
23	4	6	2	
24	6	5	4	
25	1	4	5	
26	2	3	1	
27	3	2	6	
28	4	6	2	
29	6	5	4	
30	1	4	5	
31	2	3	1	
32	3	2	6	
33	4	6	2	
34	6	5	4	
35	1	4	5	
36	2	3	1	
37	3	2	6	
38	4	6	2	
39	6	5	4	
40	1	4	5	
41	2	3	1	
42	3	2	6	
43	4	6	2	
44	6	5	4	
45	1	4	5	
46	2	3	1	
47	3	2	6	
48	4	6	2	
49	6	5	4	
50	1	4	5	
51	2	3	1	
52	3	2	6	
53	4	6	2	
54	6	5	4	
55	1	4	5	
56	2	3	1	
57	3	2	6	
58	4	6	2	
59	6	5	4	
60	1	4	5	
61	2	3	1	
62	3	2	6	
63	4	6	2	
64	6	5	4	
65	1	4	5	
66	2	3	1	
67	3	2	6	
68	4	6	2	
69	6	5	4	
70	1	4	5	
71	2	3	1	
72	3	2	6	
73	4	6	2	
74	6	5	4	
75	1	4	5	
76	2	3	1	
77	3	2	6	
78	4	6	2	
79	6	5	4	
80	1	4	5	
81	2	3	1	
82	3	2	6	
83	4	6	2	
84	6	5	4	
85	1	4	5	
86	2	3	1	
87	3	2	6	
88	4	6	2	
89	6	5	4	
90	1	4	5	
91	2	3	1	
92	3	2	6	
93	4	6	2	
94	6	5	4	
95	1	4	5	
96	2	3	1	
97	3	2	6	
98	4	6	2	
99	6	5	4	
100	1	4	5	
				
